Site.Code,Sampling.Unit.Name,Elevation,EdgeDist,Active
BBS,CT-BBS-1-01,18,1390,t
BBS,CT-BBS-1-02,34,572,t
BBS,CT-BBS-1-03,49,24,t
BBS,CT-BBS-1-04,27,1721,t
BBS,CT-BBS-1-05,41,2491,t
BBS,CT-BBS-1-06,95,1503,t
BBS,CT-BBS-1-07,118,621,t
BBS,CT-BBS-1-08,30,1569,t
BBS,CT-BBS-1-09,27,2147,t
BBS,CT-BBS-1-10,63,2486,t
BBS,CT-BBS-1-11,107,1379,t
BBS,CT-BBS-1-12,34,379,t
BBS,CT-BBS-1-13,70,735,t
BBS,CT-BBS-1-14,116,1427,t
BBS,CT-BBS-1-15,136,1908,t
BBS,CT-BBS-1-16,185,503,t
BBS,CT-BBS-1-17,44,1510,t
BBS,CT-BBS-1-18,66,849,t
BBS,CT-BBS-1-19,89,442,t
BBS,CT-BBS-1-20,80,1246,t
BBS,CT-BBS-1-21,121,1193,t
BBS,CT-BBS-1-22,62,566,t
BBS,CT-BBS-1-23,62,571,t
BBS,CT-BBS-1-24,64,8,t
BBS,CT-BBS-1-25,152,973,t
BBS,CT-BBS-1-26,159,1516,t
BBS,CT-BBS-1-27,184,633,t
BBS,CT-BBS-1-28,134,1023,t
BBS,CT-BBS-1-29,193,2029,t
BBS,CT-BBS-1-30,220,2019,t
BBS,CT-BBS-2-01,56,951,t
BBS,CT-BBS-2-02,111,1510,t
BBS,CT-BBS-2-03,96,2034,t
BBS,CT-BBS-2-04,143,957,t
BBS,CT-BBS-2-05,153,154,t
BBS,CT-BBS-2-06,77,1346,t
BBS,CT-BBS-2-07,121,1094,t
BBS,CT-BBS-2-08,110,405,t
BBS,CT-BBS-2-09,103,328,t
BBS,CT-BBS-2-10,174,437,t
BBS,CT-BBS-2-11,84,699,t
BBS,CT-BBS-2-12,114,1247,t
BBS,CT-BBS-2-13,122,245,t
BBS,CT-BBS-2-14,126,433,t
BBS,CT-BBS-2-15,75,762,t
BBS,CT-BBS-2-16,198,1220,t
BBS,CT-BBS-2-17,104,243,t
BBS,CT-BBS-2-18,140,576,t
BBS,CT-BBS-2-19,112,68,t
BBS,CT-BBS-2-20,126,881,t
BBS,CT-BBS-2-21,233,2208,t
BBS,CT-BBS-2-22,246,1464,t
BBS,CT-BBS-2-23,149,948,t
BBS,CT-BBS-2-24,203,1007,t
BBS,CT-BBS-2-25,209,1363,t
BBS,CT-BBS-2-26,219,1984,t
BBS,CT-BBS-2-27,194,1685,t
BBS,CT-BBS-2-28,180,872,t
BBS,CT-BBS-2-29,316,733,t
BBS,CT-BBS-2-30,280,1493,t
BCI,CT-BCI-1-01,51,10,t
BCI,CT-BCI-1-02,54,141,t
BCI,CT-BCI-1-03,64,20,t
BCI,CT-BCI-1-04,89,157,t
BCI,CT-BCI-1-05,56,77,t
BCI,CT-BCI-1-06,101,177,t
BCI,CT-BCI-1-07,105,447,t
BCI,CT-BCI-1-08,59,292,t
BCI,CT-BCI-1-09,74,404,t
BCI,CT-BCI-1-10,77,84,t
BCI,CT-BCI-1-11,46,44,t
BCI,CT-BCI-1-12,37,12,t
BCI,CT-BCI-1-13,59,256,t
BCI,CT-BCI-1-14,45,75,t
BCI,CT-BCI-1-15,63,133,t
BCI,CT-BCI-1-16,67,312,t
BCI,CT-BCI-1-17,76,76,t
BCI,CT-BCI-1-18,66,510,t
BCI,CT-BCI-1-19,94,600,t
BCI,CT-BCI-1-20,176,1200,t
BCI,CT-BCI-1-21,83,219,t
BCI,CT-BCI-1-22,74,364,t
BCI,CT-BCI-1-23,58,14,t
BCI,CT-BCI-1-24,55,77,t
BCI,CT-BCI-1-25,91,176,t
BCI,CT-BCI-1-26,59,153,t
BCI,CT-BCI-1-27,42,112,t
BCI,CT-BCI-1-28,85,254,t
BCI,CT-BCI-1-29,56,22,t
BCI,CT-BCI-1-30,73,78,t
BCI,CT-BCI-2-01,140,101,t
BCI,CT-BCI-2-02,66,49,t
BCI,CT-BCI-2-03,97,257,t
