"Plot","Cstorage"
"BBS.2009.01.VG-BBS-1",100689.858493015
"BBS.2009.01.VG-BBS-2",96992.0362652008
"BBS.2009.01.VG-BBS-3",107845.296692188
"BBS.2009.01.VG-BBS-4",212931.165803384
"BBS.2009.01.VG-BBS-5",68110.7053769474
"BBS.2009.01.VG-BBS-6",194897.940062924
"BBS.2010.01.VG-BBS-1",104068.661105514
"BBS.2010.01.VG-BBS-2",103722.206262191
"BBS.2010.01.VG-BBS-3",111738.03654173
"BBS.2010.01.VG-BBS-4",219708.748276953
"BBS.2010.01.VG-BBS-5",70566.8933563286
"BBS.2010.01.VG-BBS-6",199064.952253289
"BBS.2011.01.VG-BBS-1",110075.536616035
"BBS.2011.01.VG-BBS-2",103176.254560163
"BBS.2011.01.VG-BBS-3",117043.786925958
"BBS.2011.01.VG-BBS-4",223848.646451671
"BBS.2011.01.VG-BBS-5",71635.1384374038
"BBS.2011.01.VG-BBS-6",194288.982691024
"BBS.2012.01.VG-BBS-1",113821.048428864
"BBS.2012.01.VG-BBS-2",107503.431035754
"BBS.2012.01.VG-BBS-3",121864.293733781
"BBS.2012.01.VG-BBS-4",228762.163368882
"BBS.2012.01.VG-BBS-5",73633.0790498556
"BBS.2012.01.VG-BBS-6",197249.3961835
"BCI.2010.01.VG-BCI-1",143784.226182811
"BCI.2010.01.VG-BCI-3",138386.5860903
"BCI.2010.01.VG-BCI-4",195766.800952188
"BCI.2010.01.VG-BCI-5",196731.068458411
"BCI.2010.01.VG-BCI-6",141068.074602366
"BCI.2011.01.VG-BCI-1",116061.063013175
"BCI.2011.01.VG-BCI-2",146729.372572313
"BCI.2011.01.VG-BCI-3",118233.531133739
"BCI.2011.01.VG-BCI-4",159531.511172985
"BCI.2011.01.VG-BCI-5",157270.803746016
"BCI.2011.01.VG-BCI-6",107259.168536478
"BCI.2012.01.VG-BCI-1",16348253.7515161
"BCI.2012.01.VG-BCI-2",16875991.7875777
"BCI.2012.01.VG-BCI-3",17966611.1416655
"BCI.2012.01.VG-BCI-4",20601041.9217368
"BCI.2012.01.VG-BCI-5",19766341.2575273
"BCI.2012.01.VG-BCI-6",17337914.9125703
"BIF.2009.01.VG-BIF-1",101936.841122122
"BIF.2009.01.VG-BIF-2",33504.7115925656
"BIF.2009.01.VG-BIF-3",88401.9241506551
"BIF.2009.01.VG-BIF-4",165153.009429468
"BIF.2009.01.VG-BIF-5",95327.8813225504
"BIF.2009.01.VG-BIF-6",91857.5200907426
"BIF.2010.01.VG-BIF-1",100346.383766763
"BIF.2010.01.VG-BIF-2",35576.4914593691
"BIF.2010.01.VG-BIF-3",89250.7863191465
"BIF.2010.01.VG-BIF-4",168858.192503119
"BIF.2010.01.VG-BIF-5",99177.4607062737
"BIF.2010.01.VG-BIF-6",93809.5528376531
"BIF.2011.01.VG-BIF-1",101102.715553933
"BIF.2011.01.VG-BIF-2",38116.251887741
"BIF.2011.01.VG-BIF-3",92850.6079828709
"BIF.2011.01.VG-BIF-4",168320.169881563
"BIF.2011.01.VG-BIF-5",97500.8188821502
"BIF.2011.01.VG-BIF-6",94938.3087393454
"BIF.2012.01.VG-BIF-1",100963.115492754
"BIF.2012.01.VG-BIF-2",40149.4874599665
"BIF.2012.01.VG-BIF-3",93995.6673032452
"BIF.2012.01.VG-BIF-4",167384.873417099
"BIF.2012.01.VG-BIF-5",97757.692645489
"BIF.2012.01.VG-BIF-6",93911.3895940603
"BIF.2013.01.VG-BIF-1",103594.027522892
"BIF.2013.01.VG-BIF-2",42593.1173320786
"BIF.2013.01.VG-BIF-3",93572.0778767531
"BIF.2013.01.VG-BIF-4",168547.096324116
"BIF.2013.01.VG-BIF-5",98810.0873134609
"BIF.2013.01.VG-BIF-6",93996.2490500769
"CAX.2003.01.VG-CAX-1",233531.045501835
"CAX.2003.01.VG-CAX-2",254842.109726049
"CAX.2003.01.VG-CAX-3",280707.752942823
"CAX.2003.01.VG-CAX-4",239232.819711717
"CAX.2003.01.VG-CAX-5",267443.432108597
"CAX.2003.01.VG-CAX-6",202112.130198452
"CAX.2004.01.VG-CAX-1",227191.526976412
"CAX.2004.01.VG-CAX-2",258236.196844897
"CAX.2004.01.VG-CAX-3",276920.034437011
"CAX.2004.01.VG-CAX-4",246137.275309636
"CAX.2004.01.VG-CAX-5",270871.809216578
"CAX.2004.01.VG-CAX-6",202587.717774785
"CAX.2005.01.VG-CAX-1",228315.958346759
"CAX.2005.01.VG-CAX-2",261962.332495279
