"Site.Code","B.CT.nbsp","B.CT.sing.sp","B.CT.FEve","B.CT.FDiv","B.CT.FDis","B.CT.RaoQ","B.CWM.Mass"
"BBS",4,4,0.664795661819292,NA,0.334746132895033,0.157197989573609,1742.81002495389
"BCI",8,8,0.703666959912458,NA,0.117122743274844,0.0290328682864209,1172.20315562993
"CAX",8,8,0.695638211571924,NA,0.180116715070651,0.0433805423478559,1742.7842053992
"COU",11,11,0.499611194761474,NA,0.204915639301755,0.0699599684109044,1448.87488099318
"KRP",6,6,0.410394985748912,NA,0.203012194377324,0.0679304137357724,580.932266953424
"MAS",7,6,0.387404976888502,NA,0.106550566594985,0.0247044597778906,1281.71385912034
"NNN",4,4,0.514951126560253,NA,0.391568808281418,0.179057050949966,888.029345042078
"PSH",3,3,0.596691594121901,NA,0.169375748463458,0.0814512270598123,1134.66279069767
"RNF",5,5,0.604301253113641,NA,0.052618378499371,0.0112654914865571,233.252451278558
"UDZ",3,3,0.58032073419258,NA,0.43850786850297,0.214998397734253,848.33136219641
"VB-",3,3,0.3061930751881,NA,0.233235702865769,0.0969376550127962,3479.88691437803
"YAN",5,5,0.581486858225494,NA,0.16735216154309,0.0355268688211326,2414.32487795539
"YAS",13,13,0.553469405915801,NA,0.25021983259785,0.0904410954652489,1183.5232397535
