"Site.Code","CT.nbsp","CT.sing.sp","CT.FEve","CT.FDiv","CT.FDis","CT.RaoQ","CWM.Mass","CWM.Litter","CWM.GR","CT.Shannon"
"BBS",20,20,0.5986759593615,NA,0.28197196243224,0.088648150193929,69102.6282273602,1.58684138453069,6177377.83321236,2.46350423406008
"BCI",20,20,0.5844065268437,NA,0.299368084240461,0.0938397270426586,8113.65422970853,2.56001439868355,7995791.38048849,2.64529812164577
"CAX",21,21,0.580755659686869,NA,0.279010696660208,0.0870794282063154,27806.4036977143,2.35782880009583,11882334.0493564,2.80684575258064
"COU",25,25,0.523774897052512,NA,0.284592796890821,0.0909128217445285,26424.9088386519,2.19800013397125,10741916.2593503,2.90405226453382
"KRP",20,20,0.806018557565057,NA,0.273896893481069,0.0788340060324657,37278.7592885545,1.53160848212039,2764329.43293394,2.72188496389991
"MAS",20,20,0.558010105806251,NA,0.288571778857145,0.0909778679059312,25585.4741558398,2.28853315280948,10604938.5860303,2.65323922720256
"NNN",28,28,0.535798301079237,NA,0.270259897361662,0.0817220452684212,285186.868202097,1.39442540034206,5416548.5106875,2.97111880962604
"PSH",28,28,0.627135280037155,NA,0.317446697669667,0.114543612085563,54720.8857064634,1.94780334014279,5758688.59977967,2.73540569077846
"RNF",11,11,0.630574972489525,NA,0.237026618354521,0.0733092309735888,5282.28347933266,2.81489738962011,831961.25202738,2.16375320969052
"UDZ",24,24,0.523307511169681,NA,0.271951309380147,0.0816765090557279,157892.757788861,1.57615598052934,4513983.99984345,2.69135877539514
"VB-",18,18,0.586924800491376,NA,0.27735445006885,0.0855237020793397,50427.7538211451,1.75259383972302,8236284.98976218,2.3308951194406
"YAN",18,18,0.529153085534041,NA,0.267767573314562,0.0769062568144132,30410.4246017395,2.1342079847751,12247513.933391,2.4199976708089
"YAS",24,24,0.669957526881522,NA,0.289313303994684,0.0900804737143906,21083.3108365479,2.0332420613807,11582814.6373683,2.87983313345268
