"Site.Code","CT.FDisMedian","CT.FDis.sd"
"CAX",0.288013792062585,0.00445593617067009
"MAS",0.28395199305411,0.00935053482625833
"VB-",0.288885297355753,0.00484293250257516
"BIF",0.277165159329341,0.00521041973025554
"BBS",0.280021411752603,0.00452447966159718
"NNN",0.276850797783906,0.00342720001210767
"YAS",0.299024888660961,0.00225948380224316
"RNF",0.277028060161956,0.00998075171859686
"UDZ",0.274523477613165,0.00578967179101248
"BCI",0.288523137335762,0.00214397660610379
"YAN",0.279103274012508,0.00736578005088235
"COU",0.29979681323402,0.00400605702999322
"KRP",0.253903113201243,0.00356344103419273
"PSH",0.314895018817357,0.00718805510183815
