"","Var1","Freq"
"1","Amaranthaceae",2
"2","Amaranthaceae Juss.",2
"3","Annonaceae",6
"4","Apocynaceae",58
"5","Araliaceae",18
"6","Asteraceae",2
"7","Bignoniaceae",127
"8","Bignoniaceae Juss.",1
"9","Burseraceae",1
"10","Celastraceae",145
"11","Cheiloclinium",9
"12","Chrysobalanaceae",5
"13","Clusiaceae",10
"14","Combretaceae",50
"15","Connaraceae",97
"16","Convolvulaceae",127
"17","Dichapetalaceae",43
"18","Dilleniaceae",535
"19","Ebenaceae",1
"20","Euphorbiaceae",12
"21","Fabaceae",750
"22","Hippocrateaceae",10
"23","Icacinaceae",12
"24","Lamiaceae",9
"25","Lecythidaceae",9
"26","Loganiaceae",165
"27","Malpighiaceae",141
"28","Malvaceae",4
"29","Marcgraviaceae",35
"30","Melastomataceae",2
"31","Meliaceae",6
"32","Menispermaceae",446
"33","Menispermecae",2
"34","Monimiaceae",12
"35","Moraceae",7
"36","Myristicaceae",3
"37","Phytolaccaceae",1
"38","Polygalaceae",86
"39","Polygonaceae",9
"40","Primulaceae",2
"41","Rhamnaceae",2
"42","Rubiaceae",19
"43","Rutaceae",15
"44","Sapindaceae",63
"45","Sapotaceae",6
"46","Unknown",923
"47","UNKNOWN",3
"48","Urticaceae",11
"49","Verbenaceae",1
"50","Violaceae",1
"51","Vitaceae",4
