"plot","PlotCodes","nbsp","sing.sp","FEve","FDis","RaoQ","CWM.maxD","CWM.WD2","TRich","LRich","NStemsT","TShan","NStemsL","Cstorage","Cstorage2"
"VG-BBS-1","BBS",59,59,0.605459069773064,1.30092782723668,2.06576830199259,52.4723762376238,0.512598205263534,59,2,506,2.74768830609121,4,110157.706246718,110571.076017199
"VG-BBS-2","BBS",83,83,0.597978598270484,1.02492981060553,1.51693620656806,46.2746031746032,0.572282464963951,83,2,454,3.68919972726922,14,103085.380494622,102754.090414378
"VG-BBS-3","BBS",69,69,0.635550114917658,1.42215818522682,2.39465973444137,51.4717678100264,0.551283774813644,69,1,387,3.58179208321904,5,116455.350733553,115276.444683758
"VG-BBS-4","BBS",78,78,0.62498029766439,1.67481692086333,3.26187676024114,63.4023758099352,0.600273184352614,78,2,499,3.52384252055218,8,223815.086772179,221791.163693126
"VG-BBS-5","BBS",53,53,0.632743233239535,1.33535771908546,2.32668929597609,55.1173245614035,0.545082311062464,53,0,232,3.40045342505062,0,71628.306840902,71436.2855007118
"VG-BBS-6","BBS",57,57,0.584944589904661,1.67081876867675,3.15875435889312,69.9330487804878,0.585825290483355,57,2,435,3.05490630561589,9,194288.982691024,192387.895054529
"VG-BCI-1","BCI",71,71,0.622098560945764,1.10172435918006,1.7182832205977,47.7079268292683,0.614059493255688,74,1,437,3.43288065332629,1,116022.832607836,93609.5493016668
"VG-BCI-2","BCI",60,60,0.622335322602462,1.1265482187103,1.6714913494741,46.7086378737542,0.582747919739548,63,0,416,3.38222630857407,0,126260.478738168,101377.912677765
"VG-BCI-3","BCI",73,73,0.62653792568479,1.46296643206295,2.67979580557499,49.3518095238095,0.523893596184497,77,6,591,3.60665777477574,14,118233.671358741,95279.5914914891
"VG-BCI-4","BCI",77,77,0.653684188307094,1.44017794628828,2.55024539284896,47.515368852459,0.534015355244974,80,7,573,3.58649161153535,14,158925.60960619,128066.278507103
"VG-BCI-5","BCI",71,71,0.572714960804436,1.24482426537493,1.89232194829348,46.4027837259101,0.530535864156208,73,5,522,3.39129127232623,11,152711.930654242,121804.53943759
"VG-BCI-6","BCI",58,58,0.604798053950076,1.28279910796951,2.02456782959236,52.193690851735,0.575237061857179,61,1,486,3.00930642968293,1,104535.990619188,83798.6500641177
"VG-BIF-1","BIF",38,38,0.614817955578336,1.06447234657798,1.62594071277039,61.295841995842,0.591260351120649,39,0,561,2.88333300931766,0,100896.729133385,153233.565165314
"VG-BIF-2","BIF",28,28,0.617894166002434,1.42160973271279,2.13318723072071,68.1258397932817,0.553782900034593,29,1,409,2.18551662872028,1,40117.3193263703,57765.0591582516
"VG-BIF-3","BIF",36,36,0.565712777633395,1.02247517600795,1.40401003975038,61.3075757575758,0.542966987758762,38,0,614,3.08834054382754,0,99682.5169004096,168067.89042809
"VG-BIF-4","BIF",25,25,0.461593691145055,1.2920067371955,1.7882631122798,80.0175304878049,0.548580372934913,27,0,701,2.07810271463275,0,169068.122586221,270294.050201371
"VG-BIF-5","BIF",28,28,0.438964777234738,1.30168765004517,1.98785842017105,58.9177777777778,0.590995091484224,29,0,276,2.51876567311683,0,98155.0622985346,165772.889802088
"VG-BIF-6","BIF",25,25,0.503602836985501,1.49474122526238,2.45452443063512,65.0307826086956,0.504967837340717,25,0,586,1.96201193891035,0,93728.0616901552,148513.387514894
"VG-CAX-1","CAX",70,70,0.640439679837745,0.883501113113543,1.07643605994546,75.7033898305085,0.754066840756713,70,7,483,2.99721503801082,13,235543.334208304,213306.807209942
"VG-CAX-2","CAX",96,96,0.632497851837822,1.15029023739407,1.57766448214819,63.4662109375,0.710859818311119,96,7,514,3.65113851664507,8,257311.579415042,230247.17996212
"VG-CAX-3","CAX",83,83,0.639398909591867,1.09613578950848,1.48389303709361,70.2983644859813,0.725955618539935,83,7,429,3.17853774196147,11,296406.016581083,264899.539843148
"VG-CAX-4","CAX",88,88,0.608187423312368,1.13066513329583,1.53730010530432,61.1671394799054,0.696946193989897,88,3,454,3.61079337341009,13,266773.812720082,240480.179364377
"VG-CAX-5","CAX",99,99,0.645862030613895,1.15593321687168,1.60661389056437,57.8530214424951,0.68982643984179,99,6,515,3.80945010118288,7,296082.349018727,269002.872839671
"VG-CAX-6","CAX",87,87,0.618513955271418,1.1164153991621,1.55858863535526,68.4939461883408,0.720721005310496,87,7,449,3.57013012976885,13,200756.774329051,179629.85866363
"VG-COU-1","COU",88,88,0.643695079202022,1.25800913717713,2.07631209367601,53.617247706422,0.535585069798815,89,1,558,3.8622756932202,6,201544.827438698,196917.392664271
"VG-COU-2","COU",110,110,0.650473510092712,1.12191695120968,1.7477868119312,51.3143667296786,0.584180803025355,110,4,590,3.93000315864185,11,187654.140059898,181293.780659096
"VG-COU-3","COU",97,97,0.598174160184395,1.12299309608768,1.6290876531384,45.7231481481481,0.55553942559109,97,0,574,3.34944947806055,5,116446.834035588,114410.047076859
"VG-COU-4","COU",125,125,0.637908994301035,1.18361433928036,1.90093972553682,49.9661375661376,0.557031111703751,126,4,592,4.22633473328106,7,114106.298745825,112251.415025202
"VG-COU-5","COU",91,91,0.553232142556557,1.14722374400592,1.7481312864187,53.210305958132,0.541303068646565,91,5,639,3.8222762113702,8,171998.891463482,169634.553410744
"VG-COU-6","COU",101,101,0.615769851745531,1.226063813574,2.01683300922009,56.3607272727273,0.531038174684007,101,0,572,3.87568167207141,5,189851.62326319,186067.013954112
"VG-KRP-1","KRP",58,58,0.612821431702639,1.06807649013421,1.46081187496701,57.0031630170316,0.634995173766357,59,5,482,2.96358785263533,12,174309.949803485,161976.403234202
"VG-KRP-2","KRP",91,91,0.520092948029481,1.19772833456263,1.88223364346167,51.6168874172185,0.629379805453239,93,2,621,3.59775760629113,4,168438.195638731,162191.384123839
"VG-KRP-3","KRP",83,83,0.473400115048603,1.12361428883815,1.68337627155707,54.5899833055092,0.631041533278833,83,2,605,3.5027941599285,3,191018.017999918,179610.293587585
"VG-KRP-4","KRP",73,73,0.552759214135535,1.30342002776854,2.24484066202459,55.3967880085653,0.628541267273283,74,6,474,3.54019160323673,11,120276.804792623,112554.323252358
"VG-KRP-5","KRP",57,57,0.60320258152771,1.17305108627088,2.10772485374921,66.6331619537275,0.673495480803467,58,2,401,2.98452800977432,5,224447.251266989,213798.51624542
"VG-KRP-6","KRP",62,62,0.594785136078131,1.13766436229197,1.85585220415288,60.363144963145,0.658764393901287,63,6,427,3.20859074666059,12,242794.413666589,232722.226987868
"VG-MAS-1","MAS",127,127,0.55085992817057,1.18089773684715,1.59045804282408,49.3841567291312,0.691302823661145,127,9,588,4.11953891902485,12,215507.974390373,201731.539022737
"VG-MAS-2","MAS",124,124,0.615791520243085,1.27715560351869,1.82001789505879,49.6393939393939,0.691396205000414,124,6,597,4.11579678412355,8,183720.309997767,169956.637428333
"VG-MAS-3","MAS",123,123,0.649942769440371,1.27728556960881,1.84644594943462,52.5787556904401,0.696093674742812,123,10,659,3.89257066902284,26,162401.914460668,151389.350590649
"VG-MAS-4","MAS",120,120,0.612457893464583,1.2675918214697,1.86806365835905,47.8724196277496,0.62855891792755,120,7,597,4.07846757171323,11,141309.862724127,131790.617411837
"VG-MAS-5","MAS",128,128,0.669426827112902,1.32850978709396,1.95350026223605,50.875118858954,0.688562515861062,128,8,632,4.00012539024847,20,151902.394741332,141455.917480065
"VG-MAS-6","MAS",117,117,0.602472864739202,1.23920185161344,1.79471916981097,51.6676557863502,0.665497920143249,117,9,676,3.93231659474453,34,144513.84310709,135293.48649414
"VG-NNN-1","NNN",49,49,0.512656843698427,1.04793892243709,1.46526167933321,77.306746031746,0.679441649210695,50,0,284,3.21249658822849,4,286451.070840289,272747.126760996
"VG-NNN-2","NNN",41,41,0.566087719771663,1.20493496723148,1.7893090460016,86.4455172413793,0.6738146785385,42,1,352,2.95134456498231,5,267808.660691974,233596.464184882
"VG-NNN-3","NNN",53,53,0.549328859075948,1.2269541634595,2.4618074173538,70.4176271186441,0.624835304938058,54,0,374,3.51405575232781,6,169155.567073112,149137.130324861
"VG-NNN-6","NNN",47,47,0.6362328645158,1.05863810960334,1.72649584450481,63.2826714801444,0.605012611055945,49,0,355,3.29558361797018,5,159010.800508387,141568.388690932
"VG-PSH-1","PSH",103,103,0.632860712143873,1.24711000282814,1.92968232595354,59.9006097560976,0.614055864723276,104,2,667,3.80653423640491,2,129880.588155252,126856.351515508
"VG-PSH-2","PSH",103,103,0.679229337623139,1.22548872574477,1.92598795371058,57.3580882352941,0.553820119951149,104,4,435,3.92086164829853,4,139555.039111619,133044.174962928
"VG-PSH-3","PSH",62,62,0.607115867596659,1.47029892559745,2.65643178912146,58.8120943952802,0.519410031092514,62,0,339,3.49870913272566,0,174223.751372772,167207.656639213
"VG-PSH-4","PSH",96,96,0.653061761452943,1.36134362565295,2.29719874663342,55.0290760869565,0.570223725903478,97,0,371,4.11483146483564,0,136599.234495218,129360.254279363
"VG-PSH-5","PSH",79,79,0.669457173145215,1.2862966317384,2.06586138413047,56.9823684210526,0.598773070799786,80,1,382,3.89885961222305,2,140428.278092699,133150.587187899
"VG-PSH-6","PSH",70,70,0.669676761447733,1.25311735197361,1.87132876619307,48.3156351791531,0.513031313573977,70,0,307,3.46061319445372,0,40934.9095803725,40106.2606461403
