"Site.Code","V.FEve","V.FDis","V.RaoQ","V.CWM.maxD","V.CWM.WD2","V.TRich","V.LRich","V.NStemsT","V.TShan","V.NStemsL","V.Cstorage","V.Cstorage2"
"BBS",0.0326536113141322,0.175247911018681,0.269667796138306,0.153641546914097,0.0562549461354541,0.182878411901153,0.557773351022717,0.242178842865975,0.108150732874833,0.720416546173115,0.431751130501988,0.428285542189064
"BCI",0.0359249015254208,0.16074878193902,0.342732325116383,0.0615714268568825,0.0645362054494796,0.107375002739029,0.903327183250897,0.140791950742228,0.0632848056508476,1.00291069551415,0.170452645149893,0.175241164984715
"BIF",0.147596535227224,0.149027169786073,0.197143196963291,0.116824710470678,0.0584980398796456,0.188642001075481,2.44948974278318,0.294404638050497,0.186395362626769,2.44948974278318,0.408554763314561,0.42109345517767
"CAX",0.0230630610488886,0.0945996009703961,0.135046247029178,0.0990324317298614,0.0321001481202421,0.118207124405918,0.259797077636712,0.0754219731612816,0.0899382382380215,0.250537882902428,0.14191330119795,0.143457942305035
"COU",0.0589842077057979,0.0476527975083759,0.0932835597735805,0.0710984177254717,0.0351875271096364,0.135075114000089,0.964682458064808,0.0471682982087914,0.0739137265712773,0.325764407171182,0.237224241952099,0.234145582192095
"KRP",0.0935982013349438,0.0682255003885675,0.15110938034661,0.0934349440812958,0.0296278099879073,0.198447189907695,0.532497770170256,0.19456012695538,0.0860840700116448,0.544115397980614,0.245205780216741,0.253401593071193
"MAS",0.0666125836760774,0.0388506937565073,0.0670383920715397,0.0338946641395869,0.0384605977354148,0.0338349116103534,0.18024001768016,0.0587722098142315,0.0240389664454453,0.544579504854321,0.170714541119535,0.171062880235712
"NNN",0.088959197067578,0.0832283023128564,0.226924486321505,0.133433175484485,0.0566832565429486,0.102393019705107,2,0.115428989277433,0.0716980239843457,0.163299316185545,0.299657089793382,0.324668092879735
"PSH",0.0419571330639057,0.0710886123261401,0.142413931108855,0.0739271847006514,0.0730216523471967,0.209980001965996,1.37321312465119,0.311596159687291,0.0676814089724959,1.22474487139159,0.353641647169215,0.350263420074141
"RNF",0.0821777087037912,0.0893314135418012,0.135170400095073,0.0839620633845244,0.0282889649092513,0.140614521801701,1.00203873810001,0.222236345069826,0.100190252328729,1.00203873810001,0.281516450311265,0.263212856537012
"UDZ",0.261124515952867,0.403094364913224,0.671239934489042,0.125624665256909,0.0799812111852138,0.300926449751204,0.894427190999916,0.174507541759933,0.294490357259486,1.01476981895754,0.245950072013118,0.258630806998017
"VB-",0.223985966405031,0.146808007154868,0.250765626434882,0.0739462272759496,0.0715305639853233,0.462216081842925,0.983332166035633,0.458720913916857,0.208575158045683,1.06412279024695,0.431048651607162,0.433648079926048
"YAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAS",0.0351355031705413,0.0925142164658039,0.121269699128139,0.0475868247788395,0.0200540576231904,0.0691971175821463,0.181659021245849,0.0676029061939492,0.0155045522478971,0.20410499213358,0.0754498610681435,0.0737654793586129
