Site.Code,Jan,Feb,March,April,May,June,July,Aug,Sep,Oct,Nov,Dec,total
BBS,238.0,206.0,261.0,257.0,232.0,189.0,174.0,258.0,239.0,299.0,265.0,253.0,2871
BIF,72.0,83.0,126.0,154.0,108.0,61.0,48.0,90.0,126.0,133.0,141.0,98.0,1239
CAX,258.0,283.0,340.0,353.0,313.0,219.0,157.0,85.0,70.0,56.0,77.0,132.0,2342
COU,469.0,433.0,382.0,273.0,211.0,161.0,140.0,138.0,160.0,298.0,314.0,415.0,3394
MAS,234.0,244.0,290.0,292.0,257.0,158.0,121.0,80.0,82.0,107.0,146.0,183.0,2192
NAK,12.0,23.0,46.0,106.0,230.0,362.0,344.0,463.0,265.0,102.0,33.0,9.0,1994
NNN,35.0,64.0,120.0,142.0,175.0,153.0,142.0,185.0,231.0,227.0,135.0,53.0,1662
RNF,260.0,257.0,205.0,89.0,67.0,59.0,61.0,53.0,35.0,72.0,147.0,249.0,1553
CSN,243.0,183.0,223.0,278.0,385.0,359.0,284.0,167.0,79.0,56.0,87.0,172.0,2517
UDZ,196.0,184.0,281.0,279.0,87.0,18.0,13.0,8.0,17.0,28.0,88.0,173.0,1371
VB-,196.0,130.0,101.0,146.0,297.0,383.0,414.0,383.0,358.0,386.0,357.0,312.0,3462
YAS,175.0,187.0,276.0,300.0,335.0,348.0,306.0,245.0,239.0,268.0,239.0,186.0,3104
PAS,138.0,123.0,174.0,217.0,195.0,107.0,117.0,128.0,162.0,237.0,257.0,210.0,2067
KRP,20.0,52.0,144.0,202.0,237.0,331.0,444.0,440.0,438.0,317.0,97.0,25.0,2744
BCI,56.0,27.0,24.0,86.0,271.0,247.0,254.0,263.0,248.0,345.0,383.0,216.0,2420
YAN,279.0,279.0,272.0,193.0,125.0,86.0,75.0,78.0,126.0,211.0,214.0,259.0,2197
