Site.Code,Latitude,Longitude,WC_Bio12
BBS,-5.660064711,104.4633867,2928
BCI,9.162778888,-79.80258298,2524
BIF,-1.00973256,29.72926689,1325
CAX,-1.76955939,-51.50117427,2182
COU,-11.91861461,-71.35306287,2515
CSN,4.779098333,-56.17047233,2287
KRP,5.043633945,8.83599166,1166
MAS,-2.660085534,-59.98038571,2219
NAK,18.41616288,104.1554281,2734
NNN,2.497728494,16.49605902,1668
PSH,3.081764353,102.2093478,2051
RNF,-21.23716767,47.46345315,1738
UDZ,-7.770907456,36.87200035,1377
VB-,10.32678076,-84.05642729,4368
YAN,-10.37185886,-75.29001426,2554
YAS,-0.675937927,-76.4394175,3135
