"","Var1","Freq"
"1","Acanthaceae Juss.",32
"2","Achariaceae",883
"3","Actinidiaceae",257
"4","Alangiaceae",215
"5","Amaranthaceae",125
"6","Anacardiaceae",3430
"7","Anisophylleaceae",164
"8","Annonaceae",7164
"9","Annoniaceae",1
"10","Aphloiaceae",105
"11","Apocynaceae",9577
"12","Apocynaceae Juss.",50
"13","Aquifoliaceae",2047
"14","Aquifoliaceae Bercht. & J. Presl",38
"15","Araliaceae",3322
"16","Arecaceae",10565
"17","Asparagaceae",189
"18","Asteraceae",821
"19","Asteraceae Bercht. & J. Presl",11
"20","Berseraceae",4
"21","Bignoniaceae",1106
"22","Bombacaceae",670
"23","Boraginaceae",441
"24","Brunelliaceae",46
"25","Buddlejaceae",262
"26","Burseraceae",10180
"27","Caesalpiniaceae",851
"28","Calophyllaceae",612
"29","Canellaceae",38
"30","Cannabaceae",862
"31","Capparaceae",117
"32","Capparaceae Juss.",17
"33","Capparidaceae",5
"34","Caprifoliaceae",1122
"35","Cardiopteridaceae",98
"36","Caricaceae",90
"37","Caryocaceae",6
"38","Caryocaraceae",154
"39","Cecropiaceae",349
"40","Celastomataceae",4
"41","Celastraceae",268
"42","Chlorantaceae",1
"43","Chloranthaceae",141
"44","Chrysobalanaceae",10577
"45","Chrysobalanaceae R. Br.",6
"46","Clethraceae",93
"47","Cluciaceae",1
"48","Clusiaceae",5600
"49","Combretaceae",544
"50","Compositae",48
"51","Connaraceae",25
"52","Convallariaceae",33
"53","Convolvulaceae",1
"54","Cornaceae",223
"55","Cornaceae Bercht. & J. Presl",58
"56","Ctenolophonaceae",4
"57","Cunoniaceae",7173
"58","Cyatheaceae",1859
"59","Datiscaceae",409
"60","Dichapetalaceae",599
"61","Dilleniaceae",875
"62","Dipentodontaceae",12
"63","Dipterocarpaceae",1998
"64","Dracaenaceae",63
"65","Ebenaceae",2207
"66","Elaeocarpaceae",1177
"67","Eleaocarpaceae",3
"68","Emmotaceae",39
"69","Ericaceae",272
"70","Erythropalaceae",408
"71","Erythroxylaceae",717
"72","Euphorbiacae",33
"73","Euphorbiacaea",3
"74","Euphorbiaceae",14377
"75","Euphorbiaceae Juss.",211
"76","Fabaceae",22416
"77","Fabaceae-Caesalpinioideae",8
"78","Fabaceae Lindl.",46
"79","Fabaceae-Mimosoideae",14
"80","Fabaceae-Papilionoideae",8
"81","Fagaceae",662
"82","Familia Incogn.",35
"83","Flacourtiaceae",1415
"84","Gentianaceae",427
"85","Goupiaceae",342
"86","Grossulariaceae",539
"87","Guttiferae",495
"88","Hernandiaceae",158
"89","Hippocastanaceae",222
"90","Hippocastenacea",20
"91","Hippocrateaceae",31
"92","Hoplestigmataceae",2
"93","Huaceae",50
"94","Humiriaceae",1048
"95","Hypericaceae",320
"96","Icacinaceae",1630
"97","Irvingiaceae",79
"98","Ixonanthaceae",24
"99","Juglandaceae",26
"100","Labiateae",12
"101","Lacistemaceae",96
"102","Lacistemataceae",12
"103","Lamiaceae",274
"104","Lauraceae",11599
"105","Lecythidaceae",13782
"106","Leguminosae",760
"107","Linaceae",105
"108","Loganiaceae",227
"109","Lythraceae",75
"110","Magnoliaceae",191
"111","Malpighiaceae",247
"112","Malvaceae",5824
"113","Malvaceae Juss.",61
"114","Marcgraviaceae",3
"115","Medusandraceae",78
"116","Melanophyllaceae",4
"117","Melastomataceae",2009
"118","Meliaceae",4194
"119","Meliaceae Juss.",18
"120","Melianthaceae",45
"121","Melianthaceae Horan.",7
"122","Memecylaceae",30
"123","Menispermaceae",74
"124","Mimosaceae",36
"125","Mirsinaceae",4
"126","Monimiaceae",4397
"127","Monimiaceae Juss.",2
"128","Moraceae",7526
"129","Moraceae Gaudich.",5
"130","Myricaceae",20
"131","Myristicaceae",4471
"132","Myrsinaceae",4177
"133","Myrtaceae",15150
"134","Myrtaceae Juss.",2
"135","Neoboutonia",29
"136","Nyctaginaceae",868
"137","Ochnaceae",546
"138","Octoknemaceae",24
"139","Olacaceae",3479
"140","Olacaceae R. Br.",462
"141","Olaceae",4
"142","Oleaceae",466
"143","Oleaceae Hoffmanns. & Link",12
