"Var1","Freq"
"1","Abarema",220
"2","Abrahamia",1779
"3","Abuta",2
"4","Acacia",3
"5","Acanthosyris",2
"6","Actinodaphne",8
"7","Adenanthera",8
"8","Adina",70
"9","Aegiphila",2
"10","Afrostyrax",50
"11","Afzelia",8
"12","Agarista",8
"13","Agauria",145
"14","Agelaea",3
"15","Aglaia",201
"16","Agonandra",61
"17","Aidia",34
"18","Ailanthus",12
"19","Aiouea",45
"20","Alangium",486
"21","Alberta",650
"22","Albizia",233
"23","Albizia Durazz.",1
"24","Alchornea",580
"25","Alchorneopsis",75
"26","Alibertia",6
"27","Allanblackia",12
"28","Allantoma",26
"29","Allexis",2
"30","Allophyllus",3
"31","Allophylus",436
"32","Alphonsea",18
"33","Alseis",250
"34","Alseodaphne",24
"35","Alsodeiopsis",394
"36","Alstonia",38
"37","Amaioua",183
"38","Ambavia",64
"39","Ambelania",111
"40","Ampelocera",134
"41","Amphimas",2
"42","Amphiodon",473
"43","Amphirrhox",43
"44","Amphitecna",26
"45","Amyris",6
"46","Anacardium",137
"47","Anaxagorea",221
"48","Andira",304
"49","Angylocalyx",26
"50","Aniba",406
"51","Anisophyllea",164
"52","Anisoptera",26
"53","Annickia",26
"54","Annona",95
"55","Anomalocalyx",5
"56","Anonidium",132
"57","Anopyxis",12
"58","Anthocephalus",20
"59","Anthocleista",544
"60","Anthodiscus",4
"61","Anthonotha",14
"62","Antiaris",10
"63","Antidesma",121
"64","Antirhea",6
"65","Antrocaryon",4
"66","Aoranthe",4
"67","Aparisthmium",66
"68","Apeiba",403
"69","Aphanamixis",6
"70","Aphloia",122
"71","Apodocephala",790
"72","Apodytes",2
"73","Aporosa",208
"74","Aptandra",25
"75","Apuleia",27
"76","Aquilaria",12
"77","Araliopsis",2
"78","Archidendron",228
"79","Ardisia",339
"80","Artocarpus",64
"81","Arytera",2
"82","Ascarina",1
"83","Aspidosperma",482
"84","Aspidostemon",649
"85","Astrocaryum",1277
"86","Astronium",115
"87","Attalea",243
"88","Atuna",20
"89","Aulacocalyx",31
"90","Baccaurea",27
"91","Balizia",70
"92","Banara",3
"93","Baphia",231
"94","Barringtonia",28
"95","Barteria",30
"96","Bathiorhamnus",4
"97","Batocarpus",49
"98","Bauhinia",28
"99","Beguea",161
"100","Beilschmiedia",595
"101","Berlinia",88
"102","Bersama",52
"103","Bhesa",44
"104","Billia",242
"105","Blakea",6
"106","Blepharocalyx",20
"107","Blighia",28
"108","Blumeodendron",20
"109","Bocageopsis",240
"110","Bocoa",260
"111","Bombacopsis",25
"112","Bombax",50
"113","Borojoa",82
"114","Botryarrhena",44
"115","Bouea",14
"116","Bowdichia",13
"117","Brachylaena",8
"118","Breonia",18
"119","Brexiella",3
"120","Bridelia",446
"121","Brosimum",1974
"122","Brownea",204
"123","Browneopsis",100
"124","Brunellia",46
"125","Buchanania",2
"126","Buchenavia",301
"127","Bunchosia",8
"128","Burasaia",68
"129","Byrsonima",222
"130","Cabralea",11
"131","Cabucala",3370
"132","Calatola",489
"133","Callerya",22
"134","Calliandra",13
"135","Callicarpa",14
"136","Caloncoba",47
"137","Calophyllum",1112
"138","Caloxylon",12
"139","Calpocalyx",62
"140","Calycophyllum",34
"141","Calycosiphonia",2
"142","Calyptranthes",138
"143","Campomanesia",7
"144","Camptostylus",28
"145","Campylospermum",4
"146","Cananga",619
"147","Canarium",339
"148","Candolleodendron",13
"149","Canthium",168
"150","Capirona",10
"151","Capparis",111
"152","Caraipa",39
"153","Carapa",639
"154","Cariniana",10
"155","Carissa",138
"156","Carpotroche",40
"157","Caryocar",156
"158","Caryodaphnopsis",20
"159","Caryodendron",133
"160","Casearia",1086
"161","Cassearea",1
"162","Cassia",10
"163","Cassinopsis",10
"164","Cassipourea",1382
"165","Cassipourea Aubl.",225
"166","Casspourea",2
"167","Castanopsis",90
"168","Castilla",66
"169","Cathedra",23
"170","Cavanalesia",3
"171","Cecropia",561
"172","Cedrela",61
"173","Cedrelinga",14
"174","Ceiba",67
"175","Celtis",898
"176","Centrolobium",3
"177","Cephalosphaera",154
"178","Cespedesia",27
"179","Cestrum",3
"180","Chaetocarpus",43
"181","Chassalia",53
"182","Chaunochiton",23
"183","Cheiloclinium",23
"184","Chimarrhis",132
"185","Chionanthus",8
"186","Chisocheton",27
"187","Chlorocardium",4
"188","Chomelia",4
"189","Chorisia",3
"190","Chrysochlamys",34
"191","Chrysoclamys",255
"192","Chrysophyllum",1577
"193","Chydenanthus",32
"194","Chysoceton",20
"195","Chytranthus",2
"196","Cinchona",6
"197","Cinnadenia",2
"198","Cinnamomum",81
"199","Cinnamosma",38
"200","Citronella",6
"201","Clarisia",220
"202","Clausena",10
"203","Cleistanthus",841
"204","Cleistopholis",40
"205","Clerodendron",4
"206","Clerodendrum",147
"207","Clethra",93
"208","Cleyera",6
"209","Clochidion",1
"210","Clusia",10
"211","Coccoloba",197
"212","Coelocaryon",10
"213","Coffea",299
"214","Cola",922
"215","Colea",3
"216","Colubrina",37
"217","Combretum",1
"218","Commersonia",6
"219","Compsoneura",50
"220","Conceveiba",245
"221","Connarus",22
"222","Conostegia",16
"223","Copaifera",85
"224","Cordia",428
"225","Corida",3
"226","Cornus",6
"227","Corythophora",362
"228","Cosmibuena",114
"229","Couepia",730
"230","Coula",4
"231","Couma",46
"232","Couratari",551
"233","Coussapoa",65
"234","Coussarea",264
"235","Coutarea",1
"236","Craspidospermum",3
"237","Crassocephalum",4
"238","Crateranthus",2
"239","Craterispermum",201
"240","Crateva",6
"241","Cratoxylum",98
"242","Crepidospermum",20
"243","Croton",1282
"244","Crudia",658
"245","Cryosophila",6
"246","Cryptocarya",1892
"247","Ctenolophon",6
"248","Cupania",314
"249","Cyathea",1853
"250","Cybianthus",5
"251","Cymbopetalum",18
"252","Cynometra",43
"253","Cytogononia",4
"254","Dacryodes",386
"255","Dactyladenia",18
"256","Dalbergia",444
"257","Dasylepis",78
"258","Decarydendron",1
"259","Dehaasia",46
"260","Deinbollia",8
"261","Dendrobangia",362
"262","Dendrocnide",114
"263","Dendropanax",778
"264","Denrocnide",1
"265","Derris",3
"266","Desbordesia",10
"267","Desplatia",26
"268","Detarium",12
"269","Dialium",646
"270","Dichaetanthera",121
"271","Dichapetalum",48
"272","Dichostemma",1009
"273","Dicksonia",6
"274","Diclinanona",20
"275","Dicorynia",227
"276","Dicranolepis",4
"277","Dictyocaryum",12
"278","Didelotia",8
"279","Didymosalpinx",14
"280","Dillenia",867
"281","Dilobeia",44
"282","Dimorphandra",56
"283","Dinizia",127
"284","Diogoa",146
"285","Diospyros",2221
"286","Diploon",4
"287","Diplopterys",3
"288","Diplospora",4
"289","Diplotropis",105
"290","Dipterocarpus",1036
"291","Dipteryx",252
"292","Discoclaoxylon",2
"293","Discoglypremna",20
"294","Dodecastigma",209
"295","Doliocarpus",9
"296","Dombeya",1249
"297","Doratoxylon",12
"298","Dovyalis",4
"299","Dracaena",289
"300","Dracontomelon",100
"301","Drimycarpus",2
"302","Drymis",186
"303","Drypetes",1582
"304","Drypetes Vahl",4
"305","Duabanga",8
"306","Duboscia",56
"307","Duckesia",10
"308","Duguetia",643
"309","Dulacia",75
"310","Durio",20
"311","Duroia",84
"312","Dussia",144
"313","Dyera",2
"314","Dypsis",9
"315","Dysoxyllum",5
"316","Dysoxylum",132
"317","Dystovomita",78
"318","Ecclinusa",737
"319","Elaeagia",429
"320","Elaegia",2
"321","Elaeocarpus",225
"322","Elaeoluma",92
"323","Elateriospermum",102
"324","Elizabetha",10
"325","Emmotum",59
"326","Endiandra",69
"327","Endlicheria",93
"328","Endodesmia",2
"329","Endopleura",148
"330","Endospermum",67
"331","Englerophytum",39
"332","Enicosanthum",18
"333","Entandrophragma",140
"334","Enterolobium",69
"335","Eonimus",4
"336","Eperua",291
"337","Ephedranthus",136
"338","Ephippiandra",103
"339","Eriocoelum",18
"340","Eriotheca",32
"341","Erisma",161
"342","Erismadelphus",12
"343","Erythrina",41
"344","Erythrophleum",50
"345","Erythroxylon",3
"346","Erythroxylum",717
"347","Escalonia",539
"348","Eschweilera",8679
"349","Esenbeckia",14
"350","Eugenia",1214
"351","Euplassa",6
"352","Euricoma",4
"353","Eurya",49
"354","Euterpe",1336
"355","Euxylophora",143
"356","Evodia",16
"357","Exostema",4
"358","Fagara",16
"359","Fagraea",6
"360","Faramea",552
"361","Faucherea",92
"362","Faurea",105
"363","Ferdinandusa",227
"364","Ferminiana",8
"365","Ficalhoa",989
"366","Ficus",475
"367","Flacourtia",15
"368","Forsteronia",2
"369","Fragraea",2
"370","Franchetella",10
"371","Funtumia",1374
"372","Fusaea",164
"373","Gaertnera",182
"374","Galearia",40
"375","Galiniera",2
"376","Galipea",3
"377","Gallesia",9
"378","Garcinia",3085
