"Mass_c","LitterSize_c","GR_Area_c","ActivityCycle_c","Guild_c","m.Class[[i]]","m.Family[[i]]"
"Arctictis binturong",13000,2.5,2913838.88,"1","1","MAMMALIA","VIVERRIDAE"
"Argusianus argus",2380,NA,NA,NA,"4","AVES","PHASIANIDAE"
"Chalcophaps indica",107,NA,NA,NA,"2","AVES","COLUMBIDAE"
"Cuon alpinus",12760,4.3,10546280.1,"2","1","MAMMALIA","CANIDAE"
"Cynogale bennettii",4500,2.3,170977.09,"2","1","MAMMALIA","VIVERRIDAE"
"Echinosorex gymnura",957,1.9,1374526.86,"2","3","MAMMALIA","ERINACEIDAE"
"Elephas maximus",2720000,1.41,1429082.59,"2","2","MAMMALIA","ELEPHANTIDAE"
"Gallus gallus",914,NA,NA,NA,"4","AVES","PHASIANIDAE"
"Helarctos malayanus",47000,1.1,2525372.13,"1","4","MAMMALIA","URSIDAE"
"Hemigalus derbyanus",2000,1.73,1431386.4,"1","1","MAMMALIA","VIVERRIDAE"
"Herpestes brachyurus",2000,3.49,1313618.8,"1","1","MAMMALIA","HERPESTIDAE"
"Hystrix brachyura",8000,1.41,5702383.4,"1","4","MAMMALIA","HYSTRICIDAE"
"Lariscus insignis",200,NA,1341081.13,NA,"4","MAMMALIA","SCIURIDAE"
"Lutra lutra",11000,2.01,25877469.45,"1","1","MAMMALIA","MUSTELIDAE"
"Macaca fascicularis",4750,1,2197587.41,"3","4","MAMMALIA","CERCOPITHECIDAE"
"Macaca nemestrina",6500,1.01,1033482.91,"3","4","MAMMALIA","CERCOPITHECIDAE"
"Manis javanica",5150,1,2642894.09,NA,"3","MAMMALIA","MANIDAE"
"Muntiacus muntjak",14000,NA,NA,NA,"2","MAMMALIA","CERVIDAE"
"Neofelis nebulosa",19852,2.25,2913590.85,"2","1","MAMMALIA","FELIDAE"
"Paguma larvata",4300,2.16,5422715.54,"1","3","MAMMALIA","VIVERRIDAE"
"Panthera tigris",162564,2.6,2494993.45,"1","1","MAMMALIA","FELIDAE"
"Pardofelis marmorata",2459,2,2298300.89,"1","1","MAMMALIA","FELIDAE"
"Pardofelis temminckii",12500,1.5,3437288.13,NA,"1","MAMMALIA","FELIDAE"
"Prionailurus bengalensis",3300,2.5,10201747.8,"1","1","MAMMALIA","FELIDAE"
"Prionodon linsang",700,2.3,1202013.54,"1","1","MAMMALIA","PRIONODONTIDAE"
"Rollulus rouloul",217,NA,NA,NA,"4","AVES","PHASIANIDAE"
"Rusa unicolor",211620,1,7050571.04,"2","2","MAMMALIA","CERVIDAE"
"Sus scrofa",117286,4.52,25951693.02,"2","4","MAMMALIA","SUIDAE"
"Tapirus indicus",296250,1,794777.96,"1","2","MAMMALIA","TAPIRIDAE"
"Tragulus javanicus",2250,0.98,NA,"1","2","MAMMALIA","TRAGULIDAE"
"Tragulus napu",4000,0.96,1593229.34,"1","2","MAMMALIA","TRAGULIDAE"
"Tupaia tana",198,2.51,1167155.84,"3","3","MAMMALIA","TUPAIIDAE"
"Trichys fasciculata",1750,NA,823588.66,"1",NA,"MAMMALIA","HYSTRICIDAE"
"Aramides cajaneus",397,NA,NA,NA,"4","AVES","RALLIDAE"
"Cabassous centralis",3810,1,669685.02,"1","3","MAMMALIA","DASYPODIDAE"
"Crax rubra",3950,NA,NA,NA,"4","AVES","CRACIDAE"
"Cuniculus paca",8000,1.01,12381979.8,"1","2","MAMMALIA","CUNICULIDAE"
"Dasyprocta punctata",2675,1.25,2516292.24,"3","2","MAMMALIA","DASYPROCTIDAE"
"Dasypus novemcinctus",4204,3.96,17080218.63,"2","2","MAMMALIA","DASYPODIDAE"
"Didelphis marsupialis",1091,7.09,7324303.06,"1","4","MAMMALIA","DIDELPHIDAE"
"Eira barbara",3910,2.14,13411787.9,"2","4","MAMMALIA","MUSTELIDAE"
"Galictis vittata",3200,NA,10078448.48,NA,"1","MAMMALIA","MUSTELIDAE"
"Geotrygon montana",280,NA,NA,NA,"4","AVES","COLUMBIDAE"
"Hoplomys gymnurus",240,2.1,404762.49,"1","4","MAMMALIA","ECHIMYIDAE"
"Hydrochoerus isthmius",10850,4.99,307442.57,NA,"2","MAMMALIA","CAVIIDAE"
"Leopardus pardalis",11900,1.66,16040024.42,"2","1","MAMMALIA","FELIDAE"
"Leopardus wiedii",3250,1.5,12404067.35,"2","1","MAMMALIA","FELIDAE"
"Leptotila cassini",156,NA,NA,NA,"4","AVES","COLUMBIDAE"
"Leptotila verreauxi",155,NA,NA,NA,"4","AVES","COLUMBIDAE"
"Mazama temama",2100,NA,586111.82,NA,"2","MAMMALIA","CERVIDAE"
"Metachirus nudicaudatus",375,3.87,8833791.02,"1","4","MAMMALIA","DIDELPHIDAE"
"Nasua narica",4030,4,2329129.95,"2","4","MAMMALIA","PROCYONIDAE"
"Nasua nasua",3794,3.69,10694990.22,"3","4","MAMMALIA","PROCYONIDAE"
"Neomorphus geoffroyi",350,NA,NA,NA,"4","AVES","CUCULIDAE"
"Odocoileus virginianus",55509,1.57,14446002.22,"2","2","MAMMALIA","CERVIDAE"
"Odontophorus guttatus",300,NA,NA,NA,"4","AVES","ODONTOPHORIDAE"
"Pecari tajacu",21267,1.56,15771441.38,"2","4","MAMMALIA","TAYASSUIDAE"
"Penelope purpurascens",1750,NA,NA,NA,"2","AVES","CRACIDAE"
"Philander opossum",421,4.75,NA,"1","4","MAMMALIA","DIDELPHIDAE"
"Procyon cancrivorus",6950,2.62,12829315.4,"1","1","MAMMALIA","PROCYONIDAE"
"Proechimys semispinosus",361,2.84,211449.22,"1","4","MAMMALIA","ECHIMYIDAE"
"Puma yagouaroundi",8400,2.5,15093388.56,"2","1","MAMMALIA","FELIDAE"
"Sciurus granatensis",250,1.9,843476.46,"3","2","MAMMALIA","SCIURIDAE"
"Sylvilagus brasiliensis",950,1.9,10234916.71,"2","2","MAMMALIA","LEPORIDAE"
"Tamandua mexicana",4210,NA,1290178.01,"2","3","MAMMALIA","MYRMECOPHAGIDAE"
"Tapirus bairdii",225000,1,188831.76,"2","2","MAMMALIA","TAPIRIDAE"
"Tinamus major",1100,NA,NA,NA,"4","AVES","TINAMIDAE"
"Canis latrans",11990,5.72,17099094.3,"2","1","MAMMALIA","CANIDAE"
"Atherurus africanus",1934,1.5,5140711.56,"1","4","MAMMALIA","HYSTRICIDAE"
"Atilax paludinosus",3300,2,14296320.45,"2","1","MAMMALIA","HERPESTIDAE"
"Canis adustus",10250,4.5,10581413.14,"1","1","MAMMALIA","CANIDAE"
"Caracal aurata",16000,2.25,4948244.43,"2","1","MAMMALIA","FELIDAE"
"Cephalophus niger",20400,1,726891.4,NA,"2","MAMMALIA","BOVIDAE"
"Cephalophus nigrifrons",13900,NA,2766201.07,"2","2","MAMMALIA","BOVIDAE"
"Cephalophus silvicultor",72500,1,6018051.89,"2","2","MAMMALIA","BOVIDAE"
"Cephalophus weynsi",2001,NA,1692834.41,NA,"2","MAMMALIA","BOVIDAE"
"Cercopithecus lhoesti",5375,1,451166.22,"3","4","MAMMALIA","CERCOPITHECIDAE"
"Cercopithecus mitis",5000,1,2341818.13,"3","4","MAMMALIA","CERCOPITHECIDAE"
"Civettictis civetta",12000,2.31,14207678.6,"1","4","MAMMALIA","VIVERRIDAE"
"Cricetomys emini",1300,0.97,2945905.07,"1","4","MAMMALIA","NESOMYIDAE"
"Cricetomys gambianus",1285,3.11,NA,NA,"4","MAMMALIA","NESOMYIDAE"
"Francolinus nobilis",757,NA,NA,NA,"2","AVES","PHASIANIDAE"
"Genetta servalina",1055,1.5,3667035.54,"1","1","MAMMALIA","VIVERRIDAE"
"Gorilla beringei",124251,NA,107960.27,NA,"2","MAMMALIA","HOMINIDAE"
"Guttera pucherani",1200,NA,NA,NA,"4","AVES","NUMIDIDAE"
"Leptailurus serval",12000,2.35,12526196.74,"2","1","MAMMALIA","FELIDAE"
"Loxodonta africana",3940034,0.84,4233287.94,"3","2","MAMMALIA","ELEPHANTIDAE"
"Mellivora capensis",9000,2.35,27823522.11,"2","1","MAMMALIA","MUSTELIDAE"
"Nandinia binotata",2000,1.84,5977079.52,"1","4","MAMMALIA","NANDINIIDAE"
"Pan troglodytes",45000,1.05,1898947.6,"3","4","MAMMALIA","HOMINIDAE"
"Papio anubis",21250,1.01,5597000.95,"3","4","MAMMALIA","CERCOPITHECIDAE"
"Phataginus tricuspis",1800,1,5968402.76,NA,"3","MAMMALIA","MANIDAE"
"Potamochoerus larvatus",48781,2.73,5892226.64,"1","4","MAMMALIA","SUIDAE"
"Thryonomys gregorianus",2707,2.91,7278562.16,"1","2","MAMMALIA","THRYONOMYIDAE"
"Thryonomys swinderianus",4060,3.88,13000746.74,"1","2","MAMMALIA","THRYONOMYIDAE"
"Tragelaphus scriptus",43250,1,13167565.73,"2","2","MAMMALIA","BOVIDAE"
"Tragelaphus spekii",77999,1,5256068.76,"2","2","MAMMALIA","BOVIDAE"
"Atelocynus microtis",7750,NA,7634256.6,NA,"1","MAMMALIA","CANIDAE"
"Cabassous unicinctus",4800,1,9346240.23,"1","3","MAMMALIA","DASYPODIDAE"
"Crypturellus soui",220,NA,NA,NA,"4","AVES","TINAMIDAE"
"Crypturellus strigulosus",421,NA,NA,NA,"4","AVES","TINAMIDAE"
"Crypturellus variegatus",384,NA,NA,NA,"4","AVES","TINAMIDAE"
"Cuniculus paca1",8000,1.01,12381979.8,"1","2","MAMMALIA","CUNICULIDAE"
"Dasyprocta leporina",3020,1.4,5296263.55,"3","2","MAMMALIA","DASYPROCTIDAE"
"Dasypus kappleri",9500,4.47,4937797.17,"2","2","MAMMALIA","DASYPODIDAE"
"Dasypus novemcinctus1",4204,3.96,17080218.63,"2","2","MAMMALIA","DASYPODIDAE"
"Didelphis marsupialis1",1091,7.09,7324303.06,"1","4","MAMMALIA","DIDELPHIDAE"
"Eira barbara1",3910,2.14,13411787.9,"2","4","MAMMALIA","MUSTELIDAE"
"Geotrygon montana1",280,NA,NA,NA,"4","AVES","COLUMBIDAE"
"Leopardus pardalis1",11900,1.66,16040024.42,"2","1","MAMMALIA","FELIDAE"
"Leopardus wiedii1",3250,1.5,12404067.35,"2","1","MAMMALIA","FELIDAE"
"Mazama americana",22800,1.22,12346897.93,"2","2","MAMMALIA","CERVIDAE"
"Mazama gouazoubira",8000,NA,NA,NA,"2","MAMMALIA","CERVIDAE"
"Mazama nemorivaga",672,1,12556119.02,"2","2","MAMMALIA","CERVIDAE"
"Metachirus nudicaudatus1",375,3.87,8833791.02,"1","4","MAMMALIA","DIDELPHIDAE"
"Mitu tuberosum",3060,NA,NA,NA,"4","AVES","CRACIDAE"
"Myrmecophaga tridactyla",22333,1,12447513.64,"2","3","MAMMALIA","MYRMECOPHAGIDAE"
"Nasua nasua1",3794,3.69,10694990.22,"3","4","MAMMALIA","PROCYONIDAE"
"Panthera onca",1e+05,1.96,10500825.25,"2","1","MAMMALIA","FELIDAE"
"Pecari tajacu1",21267,1.56,15771441.38,"2","4","MAMMALIA","TAYASSUIDAE"
"Penelope pileata",1260,NA,NA,NA,"2","AVES","CRACIDAE"
"Penelope superciliaris",1075,NA,NA,NA,"2","AVES","CRACIDAE"
"Priodontes maximus",45360,1.5,10006526.45,"1","3","MAMMALIA","DASYPODIDAE"
"Proechimys semispinosus1",361,2.84,211449.22,"1","4","MAMMALIA","ECHIMYIDAE"
"Psophia viridis",1100,NA,NA,NA,"4","AVES","PSOPHIIDAE"
"Puma concolor",51600,2.76,22350859.07,"2","1","MAMMALIA","FELIDAE"
"Puma yagouaroundi1",8400,2.5,15093388.56,"2","1","MAMMALIA","FELIDAE"
"Tamandua tetradactyla",5515,1,12531429.9,"2","3","MAMMALIA","MYRMECOPHAGIDAE"
"Tapirus terrestris",207501,1,13663839.27,"2","2","MAMMALIA","TAPIRIDAE"
"Tayassu pecari",32234,2,13839052.97,"2","4","MAMMALIA","TAYASSUIDAE"
"Tinamus guttatus",689,NA,NA,NA,"4","AVES","TINAMIDAE"
"Tinamus major1",1100,NA,NA,NA,"4","AVES","TINAMIDAE"
"Tinamus tao",1674,NA,NA,NA,"4","AVES","TINAMIDAE"
"Aramides cajaneus1",397,NA,NA,NA,"4","AVES","RALLIDAE"
"Atelocynus microtis1",7750,NA,7634256.6,NA,"1","MAMMALIA","CANIDAE"
"Crypturellus cinereus",575,NA,NA,NA,"4","AVES","TINAMIDAE"
"Crypturellus soui1",220,NA,NA,NA,"4","AVES","TINAMIDAE"
"Crypturellus undulatus",300,NA,NA,NA,"4","AVES","TINAMIDAE"
"Crypturellus variegatus1",384,NA,NA,NA,"4","AVES","TINAMIDAE"
"Cuniculus paca2",8000,1.01,12381979.8,"1","2","MAMMALIA","CUNICULIDAE"
"Dasyprocta punctata1",2675,1.25,2516292.24,"3","2","MAMMALIA","DASYPROCTIDAE"
"Dasypus kappleri1",9500,4.47,4937797.17,"2","2","MAMMALIA","DASYPODIDAE"
"Dasypus novemcinctus2",4204,3.96,17080218.63,"2","2","MAMMALIA","DASYPODIDAE"
"Didelphis marsupialis2",1091,7.09,7324303.06,"1","4","MAMMALIA","DIDELPHIDAE"
"Eira barbara2",3910,2.14,13411787.9,"2","4","MAMMALIA","MUSTELIDAE"
"Geotrygon montana2",280,NA,NA,NA,"4","AVES","COLUMBIDAE"
"Geotrygon violacea",190,NA,NA,NA,"4","AVES","COLUMBIDAE"
"Leopardus pardalis2",11900,1.66,16040024.42,"2","1","MAMMALIA","FELIDAE"
"Leopardus tigrinus",2250,NA,11884529.12,NA,"1","MAMMALIA","FELIDAE"
"Leopardus wiedii2",3250,1.5,12404067.35,"2","1","MAMMALIA","FELIDAE"
"Leptotila rufaxilla",155,NA,NA,NA,"4","AVES","COLUMBIDAE"
"Mazama americana1",22800,1.22,12346897.93,"2","2","MAMMALIA","CERVIDAE"
