"Var1","Var2","Var3","Freq"
"1","BBS","2007.01","Accipiter tachiro",0
"2","BCI","2007.01","Accipiter tachiro",0
"3","BIF","2007.01","Accipiter tachiro",0
"4","CAX","2007.01","Accipiter tachiro",0
"5","COU","2007.01","Accipiter tachiro",0
"6","CSN","2007.01","Accipiter tachiro",0
"7","KRP","2007.01","Accipiter tachiro",0
"8","MAS","2007.01","Accipiter tachiro",0
"9","NAK","2007.01","Accipiter tachiro",0
"10","NNN","2007.01","Accipiter tachiro",0
"11","PSH","2007.01","Accipiter tachiro",0
"12","RNF","2007.01","Accipiter tachiro",0
"13","UDZ","2007.01","Accipiter tachiro",0
"14","VB-","2007.01","Accipiter tachiro",0
"15","YAN","2007.01","Accipiter tachiro",0
"16","YAS","2007.01","Accipiter tachiro",0
"17","BBS","2008.01","Accipiter tachiro",0
"18","BCI","2008.01","Accipiter tachiro",0
"19","BIF","2008.01","Accipiter tachiro",0
"20","CAX","2008.01","Accipiter tachiro",0
"21","COU","2008.01","Accipiter tachiro",0
"22","CSN","2008.01","Accipiter tachiro",0
"23","KRP","2008.01","Accipiter tachiro",0
"24","MAS","2008.01","Accipiter tachiro",0
"25","NAK","2008.01","Accipiter tachiro",0
"26","NNN","2008.01","Accipiter tachiro",0
"27","PSH","2008.01","Accipiter tachiro",0
"28","RNF","2008.01","Accipiter tachiro",0
"29","UDZ","2008.01","Accipiter tachiro",0
"30","VB-","2008.01","Accipiter tachiro",0
"31","YAN","2008.01","Accipiter tachiro",0
"32","YAS","2008.01","Accipiter tachiro",0
"33","BBS","2009.01","Accipiter tachiro",0
"34","BCI","2009.01","Accipiter tachiro",0
"35","BIF","2009.01","Accipiter tachiro",0
"36","CAX","2009.01","Accipiter tachiro",0
"37","COU","2009.01","Accipiter tachiro",0
"38","CSN","2009.01","Accipiter tachiro",0
"39","KRP","2009.01","Accipiter tachiro",0
"40","MAS","2009.01","Accipiter tachiro",0
"41","NAK","2009.01","Accipiter tachiro",0
"42","NNN","2009.01","Accipiter tachiro",0
"43","PSH","2009.01","Accipiter tachiro",0
"44","RNF","2009.01","Accipiter tachiro",0
"45","UDZ","2009.01","Accipiter tachiro",0
"46","VB-","2009.01","Accipiter tachiro",0
"47","YAN","2009.01","Accipiter tachiro",0
"48","YAS","2009.01","Accipiter tachiro",0
"49","BBS","2010.01","Accipiter tachiro",0
"50","BCI","2010.01","Accipiter tachiro",0
"51","BIF","2010.01","Accipiter tachiro",0
"52","CAX","2010.01","Accipiter tachiro",0
"53","COU","2010.01","Accipiter tachiro",0
"54","CSN","2010.01","Accipiter tachiro",0
"55","KRP","2010.01","Accipiter tachiro",0
"56","MAS","2010.01","Accipiter tachiro",0
"57","NAK","2010.01","Accipiter tachiro",0
"58","NNN","2010.01","Accipiter tachiro",0
"59","PSH","2010.01","Accipiter tachiro",0
"60","RNF","2010.01","Accipiter tachiro",0
"61","UDZ","2010.01","Accipiter tachiro",0
"62","VB-","2010.01","Accipiter tachiro",0
"63","YAN","2010.01","Accipiter tachiro",0
"64","YAS","2010.01","Accipiter tachiro",0
"65","BBS","2011.01","Accipiter tachiro",0
"66","BCI","2011.01","Accipiter tachiro",0
"67","BIF","2011.01","Accipiter tachiro",0
"68","CAX","2011.01","Accipiter tachiro",0
"69","COU","2011.01","Accipiter tachiro",0
"70","CSN","2011.01","Accipiter tachiro",0
"71","KRP","2011.01","Accipiter tachiro",0
"72","MAS","2011.01","Accipiter tachiro",0
"73","NAK","2011.01","Accipiter tachiro",0
"74","NNN","2011.01","Accipiter tachiro",0
"75","PSH","2011.01","Accipiter tachiro",0
"76","RNF","2011.01","Accipiter tachiro",0
"77","UDZ","2011.01","Accipiter tachiro",0
"78","VB-","2011.01","Accipiter tachiro",0
"79","YAN","2011.01","Accipiter tachiro",0
"80","YAS","2011.01","Accipiter tachiro",0
"81","BBS","2012.01","Accipiter tachiro",0
"82","BCI","2012.01","Accipiter tachiro",0
"83","BIF","2012.01","Accipiter tachiro",0
"84","CAX","2012.01","Accipiter tachiro",0
"85","COU","2012.01","Accipiter tachiro",0
"86","CSN","2012.01","Accipiter tachiro",0
"87","KRP","2012.01","Accipiter tachiro",0
"88","MAS","2012.01","Accipiter tachiro",0
"89","NAK","2012.01","Accipiter tachiro",0
"90","NNN","2012.01","Accipiter tachiro",0
"91","PSH","2012.01","Accipiter tachiro",0
"92","RNF","2012.01","Accipiter tachiro",0
"93","UDZ","2012.01","Accipiter tachiro",0
"94","VB-","2012.01","Accipiter tachiro",0
"95","YAN","2012.01","Accipiter tachiro",0
"96","YAS","2012.01","Accipiter tachiro",0
"97","BBS","2013.01","Accipiter tachiro",0
"98","BCI","2013.01","Accipiter tachiro",0
"99","BIF","2013.01","Accipiter tachiro",0
"100","CAX","2013.01","Accipiter tachiro",0
"101","COU","2013.01","Accipiter tachiro",0
"102","CSN","2013.01","Accipiter tachiro",0
"103","KRP","2013.01","Accipiter tachiro",0
"104","MAS","2013.01","Accipiter tachiro",0
"105","NAK","2013.01","Accipiter tachiro",0
"106","NNN","2013.01","Accipiter tachiro",0
"107","PSH","2013.01","Accipiter tachiro",0
"108","RNF","2013.01","Accipiter tachiro",0
"109","UDZ","2013.01","Accipiter tachiro",15
"110","VB-","2013.01","Accipiter tachiro",0
"111","YAN","2013.01","Accipiter tachiro",0
"112","YAS","2013.01","Accipiter tachiro",0
"113","BBS","2007.01","Agelastes niger",0
"114","BCI","2007.01","Agelastes niger",0
"115","BIF","2007.01","Agelastes niger",0
"116","CAX","2007.01","Agelastes niger",0
"117","COU","2007.01","Agelastes niger",0
"118","CSN","2007.01","Agelastes niger",0
"119","KRP","2007.01","Agelastes niger",0
"120","MAS","2007.01","Agelastes niger",0
"121","NAK","2007.01","Agelastes niger",0
"122","NNN","2007.01","Agelastes niger",0
"123","PSH","2007.01","Agelastes niger",0
"124","RNF","2007.01","Agelastes niger",0
"125","UDZ","2007.01","Agelastes niger",0
"126","VB-","2007.01","Agelastes niger",0
"127","YAN","2007.01","Agelastes niger",0
"128","YAS","2007.01","Agelastes niger",0
"129","BBS","2008.01","Agelastes niger",0
"130","BCI","2008.01","Agelastes niger",0
"131","BIF","2008.01","Agelastes niger",0
"132","CAX","2008.01","Agelastes niger",0
"133","COU","2008.01","Agelastes niger",0
"134","CSN","2008.01","Agelastes niger",0
"135","KRP","2008.01","Agelastes niger",0
"136","MAS","2008.01","Agelastes niger",0
"137","NAK","2008.01","Agelastes niger",0
"138","NNN","2008.01","Agelastes niger",0
"139","PSH","2008.01","Agelastes niger",0
"140","RNF","2008.01","Agelastes niger",0
"141","UDZ","2008.01","Agelastes niger",0
"142","VB-","2008.01","Agelastes niger",0
"143","YAN","2008.01","Agelastes niger",0
"144","YAS","2008.01","Agelastes niger",0
"145","BBS","2009.01","Agelastes niger",0
"146","BCI","2009.01","Agelastes niger",0
"147","BIF","2009.01","Agelastes niger",0
"148","CAX","2009.01","Agelastes niger",0
"149","COU","2009.01","Agelastes niger",0
"150","CSN","2009.01","Agelastes niger",0
"151","KRP","2009.01","Agelastes niger",0
"152","MAS","2009.01","Agelastes niger",0
"153","NAK","2009.01","Agelastes niger",0
"154","NNN","2009.01","Agelastes niger",190
"155","PSH","2009.01","Agelastes niger",0
"156","RNF","2009.01","Agelastes niger",0
"157","UDZ","2009.01","Agelastes niger",0
"158","VB-","2009.01","Agelastes niger",0
"159","YAN","2009.01","Agelastes niger",0
"160","YAS","2009.01","Agelastes niger",0
"161","BBS","2010.01","Agelastes niger",0
"162","BCI","2010.01","Agelastes niger",0
"163","BIF","2010.01","Agelastes niger",0
"164","CAX","2010.01","Agelastes niger",0
"165","COU","2010.01","Agelastes niger",0
"166","CSN","2010.01","Agelastes niger",0
"167","KRP","2010.01","Agelastes niger",0
"168","MAS","2010.01","Agelastes niger",0
"169","NAK","2010.01","Agelastes niger",0
"170","NNN","2010.01","Agelastes niger",344
"171","PSH","2010.01","Agelastes niger",0
"172","RNF","2010.01","Agelastes niger",0
"173","UDZ","2010.01","Agelastes niger",0
"174","VB-","2010.01","Agelastes niger",0
"175","YAN","2010.01","Agelastes niger",0
"176","YAS","2010.01","Agelastes niger",0
"177","BBS","2011.01","Agelastes niger",0
"178","BCI","2011.01","Agelastes niger",0
"179","BIF","2011.01","Agelastes niger",0
"180","CAX","2011.01","Agelastes niger",0
"181","COU","2011.01","Agelastes niger",0
"182","CSN","2011.01","Agelastes niger",0
"183","KRP","2011.01","Agelastes niger",3108
"184","MAS","2011.01","Agelastes niger",0
"185","NAK","2011.01","Agelastes niger",0
"186","NNN","2011.01","Agelastes niger",67
"187","PSH","2011.01","Agelastes niger",0
"188","RNF","2011.01","Agelastes niger",0
"189","UDZ","2011.01","Agelastes niger",0
"190","VB-","2011.01","Agelastes niger",0
"191","YAN","2011.01","Agelastes niger",0
"192","YAS","2011.01","Agelastes niger",0
