Unique_Name,Mass,Class,Family,Guild,Include
Agelastes niger,1150,AVES,NUMIDIDAE,Omnivore,1
Alethe diademata,31.2,AVES,TURDIDAE,NA,0
Alethe fuelleborni,52,AVES,TURDIDAE,NA,0
Alethe poliocephala,28,AVES,TURDIDAE,NA,0
Alouatta palliata,7275,MAMMALIA,ATELIDAE,Herbivore,0
Aplopelia larvata,116,AVES,COLUMBIDAE,Herbivore,1
Aquila africanus,1050,AVES,ACCIPITRIDAE,Carnivore,0
Aramides cajaneus,397,AVES,RALLIDAE,Omnivore,1
Aramides calopterus,NA,AVES,RALLIDAE,NA,0
Arctictis binturong,13000,MAMMALIA,VIVERRIDAE,Carnivore,1
Arctogalidia trivirgata,2250,MAMMALIA,VIVERRIDAE,Carnivore,0
Arctonyx collaris,6356,MAMMALIA,MUSTELIDAE,Carnivore,1
Argusianus argus,2380,AVES,PHASIANIDAE,Omnivore,1
Atelocynus microtis,7750,MAMMALIA,CANIDAE,Carnivore,1
Atelornis crossleyi,79,AVES,BRACHYPTERACIIDAE,NA,0
Atelornis pittoides,91.5,AVES,BRACHYPTERACIIDAE,NA,0
Atherurus africanus,1934,MAMMALIA,HYSTRICIDAE,Omnivore,1
Atherurus macrourus,2000,MAMMALIA,HYSTRICIDAE,Omnivore,1
Atilax paludinosus,3300,MAMMALIA,HERPESTIDAE,Carnivore,1
Baryphthengus martii,195,AVES,MOMOTIDAE,Omnivore,1
Bassariscus sumichrasti,900,MAMMALIA,PROCYONIDAE,Omnivore,0
Bdeogale crassicauda,1550,MAMMALIA,HERPESTIDAE,Carnivore,1
Bdeogale nigripes,2500,MAMMALIA,HERPESTIDAE,Carnivore,1
Bleda notatus,39.2,AVES,PYCNONOTIDAE,Insectivore,0
Bleda syndactylus,46.15,AVES,PYCNONOTIDAE,Insectivore,0
Brachypteracias squamiger,170,AVES,BRACHYPTERACIIDAE,Insectivore,1
Buteogallus anthracinus,950,AVES,ACCIPITRIDAE,Carnivore,0
Buteogallus urubitinga,1100,AVES,ACCIPITRIDAE,Carnivore,0
Bycanistes fistulator,550,AVES,BUCEROTIDAE,Omnivore,0
Cabassous centralis,3810,MAMMALIA,DASYPODIDAE,Insectivore,1
Cabassous tatouay,5350,MAMMALIA,DASYPODIDAE,Insectivore,1
Cabassous unicinctus,4800,MAMMALIA,DASYPODIDAE,Insectivore,1
Callosciurus caniceps,257,MAMMALIA,SCIURIDAE,Omnivore,0
Callosciurus erythraeus,280,MAMMALIA,SCIURIDAE,Herbivore,1
Callosciurus notatus,205,MAMMALIA,SCIURIDAE,Omnivore,0
Caluromys derbianus,330,MAMMALIA,DIDELPHIDAE,Omnivore,0
Canirallus kioloides,269,AVES,RALLIDAE,Omnivore,1
Canirallus oculeus,277,AVES,RALLIDAE,Omnivore,1
Canis adustus,10250,MAMMALIA,CANIDAE,Carnivore,1
Capricornis milneedwardsii,160000,MAMMALIA,BOVIDAE,Herbivore,1
Capricornis sumatraensis,140000,MAMMALIA,BOVIDAE,Herbivore,1
Caracal aurata,16000,MAMMALIA,FELIDAE,Carnivore,1
Caracara plancus,1250,AVES,FALCONIDAE,Carnivore,0
Cathartes aura,1550,AVES,CATHARTIDAE,Carnivore,0
Cebus albifrons,2629,MAMMALIA,CEBIDAE,Omnivore,0
Cebus apella,2500,MAMMALIA,CEBIDAE,Omnivore,0
Cebus capucinus,2733,MAMMALIA,CEBIDAE,Omnivore,0
Centropus sinensis,252,AVES,CUCULIDAE,Omnivore,0
Cephalophus callipygus,18250,MAMMALIA,BOVIDAE,Herbivore,1
Cephalophus dorsalis,20000,MAMMALIA,BOVIDAE,Omnivore,1
Cephalophus harveyi,14500,MAMMALIA,BOVIDAE,Herbivore,1
Cephalophus leucogaster,12700,MAMMALIA,BOVIDAE,Herbivore,1
Cephalophus niger,20400,MAMMALIA,BOVIDAE,Herbivore,1
Cephalophus nigrifrons,13900,MAMMALIA,BOVIDAE,Herbivore,1
Cephalophus ogilbyi,20000,MAMMALIA,BOVIDAE,Herbivore,1
Cephalophus silvicultor,72500,MAMMALIA,BOVIDAE,Herbivore,1
Cephalophus spadix,56000,MAMMALIA,BOVIDAE,Omnivore,1
Cephalophus weynsi,2001,MAMMALIA,BOVIDAE,Herbivore,1
Cercocebus agilis,8000,MAMMALIA,CERCOPITHECIDAE,Omnivore,1
Cercocebus sanjei,8000,MAMMALIA,CERCOPITHECIDAE,Omnivore,1
Cercocebus torquatus,7750,MAMMALIA,CERCOPITHECIDAE,Omnivore,1
Cercopithecus lhoesti,5375,MAMMALIA,CERCOPITHECIDAE,Omnivore,1
Cercopithecus mitis,5000,MAMMALIA,CERCOPITHECIDAE,Omnivore,1
Cercopithecus nictitans,5410,MAMMALIA,CERCOPITHECIDAE,Omnivore,1
Chalcophaps indica,107,AVES,COLUMBIDAE,Herbivore,1
Chamaeza nobilis,123,AVES,FORMICARIIDAE,NA,0
Cheirogaleus major,450,MAMMALIA,CHEIROGALEIDAE,Omnivore,0
Civettictis civetta,12000,MAMMALIA,VIVERRIDAE,Omnivore,1
Cochlearius cochlearius,600,AVES,ARDEIDAE,Carnivore,0
Coendou rothschildi,2000,MAMMALIA,ERETHIZONTIDAE,Herbivore,0
Colobus angolensis,9850,MAMMALIA,CERCOPITHECIDAE,Herbivore,0
Columbina talpacoti,47,AVES,COLUMBIDAE,Herbivore,0
Conepatus semistriatus,1200,MAMMALIA,MEPHITIDAE,Carnivore,1
Copsychus albospecularis,21.2,AVES,MUSCICAPIDAE,NA,0
Corythopis torquatus,15,AVES,TYRANNIDAE,Insectivore,0
Coua caerulea,232,AVES,CUCULIDAE,Omnivore,0
Coua reynaudii,153,AVES,CUCULIDAE,Omnivore,1
Crax alector,3950,AVES,CRACIDAE,Omnivore,1
Crax rubra,3950,AVES,CRACIDAE,Omnivore,1
Cricetomys emini,1300,MAMMALIA,NESOMYIDAE,Omnivore,1
Cricetomys gambianus,1285,MAMMALIA,NESOMYIDAE,Omnivore,1
Crocuta crocuta,63000,MAMMALIA,HYAENIDAE,Carnivore,1
Cryptoprocta ferox,9500,MAMMALIA,EUPLERIDAE,Carnivore,1
Crypturellus cinereus,575,AVES,TINAMIDAE,Omnivore,1
Crypturellus cinnamomeus,440,AVES,TINAMIDAE,Omnivore,1
Crypturellus erythropus,384,AVES,TINAMIDAE,Omnivore,1
