"Var1","Freq"
"1","Accipiter tachiro",15
"2","Agelastes niger",7120
"3","Alethe diademata",10
"4","Alethe fuelleborni",15
"5","Alethe poliocephala",180
"6","Alouatta palliata",10
"7","Aplopelia larvata",446
"8","Aquila africanus",9
"9","Aramides cajaneus",586
"10","Aramides calopterus",50
"11","Arborophila chloropus",3
"12","Arctictis binturong",65
"13","Arctogalidia trivirgata",3
"14","Arctonyx collaris",87
"15","Argusianus argus",3060
"16","Ateles chamek",6
"17","Atelocynus microtis",699
"18","Atelornis crossleyi",3
"19","Atelornis pittoides",77
"20","Atherurus africanus",6238
"21","Atherurus macrourus",1009
"22","Atilax paludinosus",342
"23","Baryphthengus martii",30
"24","Bassariscus sumichrasti",3
"25","Bdeogale crassicauda",8390
"26","Bdeogale nigripes",605
"27","Bleda notatus",40
"28","Bleda syndactylus",10
"29","Brachypteracias squamiger",42
"30","Buteogallus anthracinus",157
"31","Buteogallus urubitinga",126
"32","Bycanistes fistulator",10
"33","Cabassous centralis",240
"34","Cabassous tatouay",3
"35","Cabassous unicinctus",6
"36","Callosciurus caniceps",31
"37","Callosciurus erythraeus",34
"38","Callosciurus notatus",34
"39","Callosciurus prevostii",175
"40","Caluromys derbianus",8
"41","Canirallus kioloides",106
"42","Canirallus oculeus",70
"43","Canis adustus",276
"44","Canis latrans",10
"45","Capricornis milneedwardsii",41
"46","Capricornis sumatraensis",150
"47","Caracal aurata",1327
"48","Caracara plancus",70
"49","Cathartes aura",63
"50","Cebus albifrons",596
"51","Cebus apella",23
"52","Cebus capucinus",200
"53","Centropus sinensis",6
"54","Cephalophus callipygus",59932
"55","Cephalophus dorsalis",12375
"56","Cephalophus harveyi",22986
"57","Cephalophus leucogaster",226
"58","Cephalophus niger",27
"59","Cephalophus nigrifrons",10258
"60","Cephalophus ogilbyi",8061
"61","Cephalophus silvicultor",36026
"62","Cephalophus spadix",2829
"63","Cephalophus weynsi",72
"64","Cercartetus lepidus",3
"65","Cercocebus agilis",415
"66","Cercocebus sanjei",9083
"67","Cercocebus torquatus",750
"68","Cercopithecus lhoesti",3442
"69","Cercopithecus mitis",414
"70","Cercopithecus nictitans",43
"71","Chalcophaps indica",82
"72","Chamaeza nobilis",385
"73","Cheirogaleus major",3
"74","Civettictis civetta",163
"75","Cochlearius cochlearius",33
"76","Coendou rothschildi",10
"77","Colobus angolensis",51
"78","Columbina talpacoti",13
"79","Conepatus semistriatus",11
"80","Copsychus albospecularis",106
"81","Corythopis torquatus",6
"82","Coua caerulea",18
"83","Coua reynaudii",68
"84","Crax alector",9828
"85","Crax rubra",1455
"86","Cricetomys emini",16208
"87","Cricetomys gambianus",13250
"88","Crocuta crocuta",15
"89","Crossarchus obscurus",1359
"90","Cryptoprocta ferox",2310
"91","Crypturellus bartletti",27
"92","Crypturellus cinereus",147
"93","Crypturellus cinnamomeus",6
"94","Crypturellus erythropus",6
"95","Crypturellus soui",829
"96","Crypturellus strigulosus",9
"97","Crypturellus undulatus",16
"98","Crypturellus variegatus",1346
"99","Cuculus clamosus",2
"100","Cuniculus paca",51092
"101","Cuon alpinus",28
"102","Cynogale bennettii",2
"103","Dasyprocta fuliginosa",26908
"104","Dasyprocta leporina",25844
"105","Dasyprocta punctata",151307
"106","Dasypus kappleri",3329
"107","Dasypus novemcinctus",23943
"108","Daubentonia madagascariensis",108
"109","Dendrohyrax arboreus",1037
"110","Desmodus rotundus",10
"111","Dichrozona cincta",9
"112","Didelphis marsupialis",10011
"113","Didelphis virginiana",18
"114","Domesticated cow",7514
"115","Domesticated dog",791
"116","Dryolimnas cuvieri",65
"117","Echinosorex gymnura",97
"118","Eira barbara",2608
"119","Electron platyrhynchum",34
"120","Elephas maximus",658
"121","Eliurus tanala",486
"122","Eucometis penicillata",50
"123","Eulemur rubriventer",12
"124","Eulemur rufifrons",161
"125","Euoticus elegantulus",10
"126","Eupetes macrocerus",5
"127","Eupleres goudotii",56
"128","Euryoryzomys nitidus",36
"129","Ficedula zanthopygia",15
"130","Formicarius analis",413
"131","Formicarius colma",254
"132","Formicarius nigricapillus",10
"133","Fossa fossana",1983
"134","Francolinus africanus",12
"135","Francolinus lathami",993
"136","Francolinus nobilis",441
"137","Francolinus pintadeanus",6
"138","Francolinus squamatus",81
"139","Funisciurus anerythrus",738
"140","Funisciurus carruthersi",111
"141","Funisciurus lemniscatus",25
"142","Funisciurus leucogenys",2625
"143","Funisciurus pyrropus",1474
"144","Furnarius leucopus",15
"145","Galagoides demidovii",12
"146","Galictis vittata",40
"147","Galidia elegans",236
"148","Galidictis fasciata",287
"149","Gallus gallus",271
"150","Genetta servalina",2857
"151","Genetta tigrina",182
"152","Genetta victoriae",12
"153","Geotrygon frenata",60
"154","Geotrygon montana",2468
"155","Geotrygon saphirina",10
"156","Geotrygon violacea",33
"157","Gorilla beringei",657
"158","Gorilla gorilla",1950
"159","Grallaria varia",3
"160","Guttera plumifera",2723
"161","Guttera pucherani",3491
"162","Hapalemur griseus",6
"163","Harpia harpyja",210
"164","Helarctos malayanus",167
"165","Hemicentetes nigriceps",15
"166","Hemicentetes semispinosus",3
"167","Hemigalus derbyanus",161
"168","Herpestes brachyurus",46
"169","Herpestes naso",1072
"170","Herpestes sanguineus",60
"171","Herpestes urva",45
"172","Heteromys desmarestianus",3
"173","Himantornis haematopus",1576
"174","Homo sapiens",8294
"175","Hoplomys gymnurus",490
"176","Hydrochoerus hydrochaeris",9
"177","Hydrochoerus isthmius",10
"178","Hyemoschus aquaticus",938
"179","Hylochoerus meinertzhageni",110
"180","Hylophylax naevioides",74
"181","Hystrix africaeaustralis",85
"182","Hystrix brachyura",1189
"183","Jacana jacana",20
"184","Lariscus insignis",332
"185","Leopardus pardalis",8743
"186","Leopardus tigrinus",117
"187","Leopardus wiedii",1627
"188","Leopoldamys sabanus",981
"189","Lepilemur microdon",7
"190","Leptailurus serval",26
"191","Leptotila cassini",1340
"192","Leptotila rufaxilla",1250
"193","Leptotila verreauxi",50
"194","Leucopternis albicollis",246
"195","Leucopternis schistaceus",205
"196","Lophotibis cristata",1838
"197","Lophura diardi",1054
"198","Lophura ignita",27
"199","Lophura nycthemera",210
"200","Loxodonta africana",19036
"201","Lutra lutra",6
"202","Macaca arctoides",55
"203","Macaca assamensis",9
"204","Macaca fascicularis",4499
"205","Macaca leonina",524
"206","Macaca nemestrina",48473
"207","Malacocincla malaccensis",8
"208","Mandrillus leucophaeus",2880
"209","Manis javanica",42
"210","Marmosa demerarae",9
"211","Marmosa mexicana",5
"212","Marmosa murina",6
"213","Marmosa regina",9
"214","Marmosa robinsoni",30
"215","Martes flavigula",39
"216","Mazama americana",37398
"217","Mazama gouazoubira",7773
"218","Mazama nemorivaga",1523
"219","Mazama temama",13628
"220","Megascops choliba",3
"221","Mellivora capensis",646
"222","Melogale moschata",9
"223","Melogale personata",6
"224","Metachirus nudicaudatus",3594
"225","Micrastur mirandollei",21
"226","Microgale cowani",2
"227","Microsciurus flaviventer",2
"228","Mitu salvini",5069
"229","Mitu tuberosum",16196
"230","Momotus momota",32
"231","Monasa atra",42
"232","Monodelphis brevicaudata",201
"233","Monodelphis glirina",99
"234","Monticola sharpei",3
"235","Mungos mungo",85
"236","Muntiacus montanus",38
"237","Muntiacus muntjak",10217
"238","Myoprocta acouchy",14265
"239","Myoprocta pratti",25315
"240","Myrmeciza ferruginea",3
"241","Myrmeciza hyperythra",15
"242","Myrmecophaga tridactyla",1866
"243","Myrmoborus myotherinus",3
"244","Myrmornis torquata",3
"245","Myrmothera campanisona",6
"246","Mystacornis crossleyi",3
"247","NA NA",101246
"248","Nandinia binotata",283
"249","Nasua narica",12708
"250","Nasua nasua",2589
"251","Neofelis nebulosa",27
"252","Neomorphus geoffroyi",190
"253","Nesillas typica",1
"254","Nesoenas picturata",502
