id,mammal_id,spcrecid,kingdom,phylum,class,order_team,family,genus,species,common_names_eng,red_list_status_id,mass,guild,wpi_include
1233,6286,NA,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DASYPROCTIDAE,Dasyprocta,prymnolopha,Black-rumped Agouti,8,3000,Herbivore,t
1645,8834,NA,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,EUPLERIDAE,Galidictis,grandidieri,"Giant-striped Mongoose, Grandidier's Mongoose",4,1400,Carnivore,t
5387,12766,NA,ANIMALIA,CHORDATA,MAMMALIA,PHOLIDOTA,MANIDAE,Uromanis,tetradactyla,"Black-bellied Pangolin, Long-tailed Pangolin",8,2250,Insectivore,t
5433,23036,NA,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,VIVERRIDAE,Viverra,civettina,"Malabar Civet, Malabar Large-spotted Civet",3,6600,Carnivore,t
5624,NA,100,ANIMALIA,CHORDATA,AVES,GALLIFORMES,CRACIDAE,Mitu,mitu,Alagoas Curassow,2,3860,Herbivore,t
3307,14604,NA,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Nesotragus,moschatus,Suni,8,6499,Herbivore,t
5635,NA,307,ANIMALIA,CHORDATA,AVES,GALLIFORMES,NUMIDIDAE,Agelastes,niger,Black Guineafowl,8,1150,Omnivore,t
7458,NA,2496,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Aplopelia,larvata,Lemon Dove,8,116,Herbivore,t
271,41690,NA,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,VIVERRIDAE,Arctictis,binturong,"Bearcat, Binturong, Palawan Binturong",5,13000,Carnivore,t
283,41625,NA,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Arctonyx,collaris,Hog Badger,9,6356,Carnivore,t
5855,NA,112638,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Argusianus,argus,Great Argus,9,2380,Omnivore,t
