species_id,genus,species,variable_family,site_id,site_name,year,weight
1177,Cuniculus,paca,Human Presence,1,Caxiuanã,,-1.15212360159604
1177,Cuniculus,paca,Climate,1,Caxiuanã,,18.4703032855625
1238,Dasypus,novemcinctus,Climate,1,Caxiuanã,,13.5584394506163
1237,Dasypus,kappleri,Climate,1,Caxiuanã,,-11.2120391413846
1237,Dasypus,kappleri,Human Presence,1,Caxiuanã,,-0.476751491039926
2545,Mazama,americana,Human Presence,1,Caxiuanã,,-0.0329923206668102
2551,Mazama,nemorivaga,Climate,1,Caxiuanã,,5.20626675404313
2551,Mazama,nemorivaga,Human Presence,1,Caxiuanã,,-0.151389253276668
6980,Psophia,viridis,Human Presence,1,Caxiuanã,,0.262601059603825
1231,Dasyprocta,leporina,Climate,1,Caxiuanã,,0.834956496272747
1231,Dasyprocta,leporina,Human Presence,1,Caxiuanã,,-0.0107106388202946
1317,Didelphis,marsupialis,Human Presence,2,Central Suriname Nature Reserve,,0.386935749124628
1231,Dasyprocta,leporina,Human Presence,2,Central Suriname Nature Reserve,,-5.67315632089576
2545,Mazama,americana,Climate,2,Central Suriname Nature Reserve,,1.21750889861584
2545,Mazama,americana,Forest Edge,2,Central Suriname Nature Reserve,,1.12258723559371
2545,Mazama,americana,Human Presence,2,Central Suriname Nature Reserve,,-8.56105866206533
5169,Tapirus,terrestris,Human Presence,2,Central Suriname Nature Reserve,,-0.183201827901882
5630,Crax,alector,Human Presence,2,Central Suriname Nature Reserve,,-2.21272844985527
5630,Crax,alector,Climate,2,Central Suriname Nature Reserve,,-1.27830521358877
1238,Dasypus,novemcinctus,Human Presence,2,Central Suriname Nature Reserve,,-1.05734544213506
1238,Dasypus,novemcinctus,Climate,2,Central Suriname Nature Reserve,,8.06960929058562
6978,Psophia,crepitans,Human Presence,2,Central Suriname Nature Reserve,,4.62805586544326
3049,Myoprocta,acouchy,Human Presence,2,Central Suriname Nature Reserve,,-3.09055104233276
3049,Myoprocta,acouchy,Climate,2,Central Suriname Nature Reserve,,-1.57702202117852
1177,Cuniculus,paca,Climate,3,Manaus,,-4.85536211010893
1231,Dasyprocta,leporina,Human Presence,3,Manaus,,0.506199920767807
3049,Myoprocta,acouchy,Human Presence,3,Manaus,,-0.124129363405699
3049,Myoprocta,acouchy,Climate,3,Manaus,,-2.38215740768125
1238,Dasypus,novemcinctus,Climate,3,Manaus,,7.1868551349712
1238,Dasypus,novemcinctus,Human Presence,3,Manaus,,-0.526841495622487
2545,Mazama,americana,Human Presence,3,Manaus,,0.280960887068483
